DISTRICT,YEAR,annual_precip,avg_temp,avg_max_temp,avg_humidity,avg_wind,temp_range_stddev,annual_precip_lag1,avg_temp_lag1,temp_range_stddev_lag1,predicted_spi,drought_risk
arghakhanchi,2020,1620.9618006691605,22.228096107918855,27.9852314373283,59.64232131915028,2.569254701884383,3.686080048755511,1621.05,22.33967123287671,3.639443568484479,1.4158922522497892,None
arghakhanchi,2021,1621.162994415521,22.271673497710793,28.038086318322666,59.63534737543566,2.54152457952641,3.589393259689627,1620.9618006691605,22.228096107918855,3.686080048755511,1.4140373837701725,None
arghakhanchi,2022,1620.9261805801068,22.149724630268608,27.906122178880867,59.466490594421735,2.5145496950240607,3.5634767484238035,1621.162994415521,22.271673497710793,3.589393259689627,1.3868285695689695,None
arghakhanchi,2023,1621.0922641190364,22.189893316409645,27.989563272002048,59.40970953536328,2.452687189330157,3.585957110047925,1620.9261805801068,22.149724630268608,3.5634767484238035,1.4018068795500935,None
arghakhanchi,2024,1621.207726513056,22.193149687440435,28.11811257384041,59.47617240300815,2.352868730587096,3.715643535333645,1621.0922641190364,22.189893316409645,3.585957110047925,1.4432092434423587,None
arghakhanchi,2025,1621.1650204510934,22.136911430003504,28.135094207231706,59.50199495179364,2.4151067967430295,3.8362404644766346,1621.207726513056,22.193149687440435,3.715643535333645,1.4421631618996105,None
arghakhanchi,2026,1621.100864863135,22.23843324494056,28.113300782444256,59.45774388563009,2.3038429328589203,3.99149366671242,1621.1650204510934,22.136911430003504,3.8362404644766346,1.4432092434423587,None
arghakhanchi,2027,1621.1687802809743,22.178614557835864,28.17358813379077,59.51823204369196,2.239706353945694,4.127190225033716,1621.100864863135,22.23843324494056,3.99149366671242,1.4432092434423587,None
arghakhanchi,2028,1621.04268473977,22.275932550458734,28.114908245783937,59.46259212683545,2.338782748153254,4.1033202867164915,1621.1687802809743,22.178614557835864,4.127190225033716,1.4598909444606019,None
arghakhanchi,2029,1621.0634345604703,22.241752562942143,28.18370818667334,59.32883971199464,2.508116732384665,4.144758124493825,1621.04268473977,22.275932550458734,4.1033202867164915,1.4377119651014463,None
arghakhanchi,2030,1620.9289579394353,22.190280546864106,28.08246439432936,59.361885327292036,2.5489895169691668,4.162089882974557,1621.0634345604703,22.241752562942143,4.144758124493825,1.4377119651014463,None
arghakhanchi,2031,1621.1930732920002,22.22521421495158,27.919222700150186,59.40325498883715,2.454358330202874,4.1249346781764,1620.9289579394353,22.190280546864106,4.162089882974557,1.4421631618996105,None
arghakhanchi,2032,1621.2478923720998,22.259525950500965,27.948300681137994,59.38398460442959,2.586301528530708,4.1190693120270945,1621.1930732920002,22.22521421495158,4.1249346781764,1.4543936661196895,None
arghakhanchi,2033,1621.1424067118471,22.303654807524,27.928265396444928,59.44220015336157,2.6333879220548297,4.1162658802817855,1621.2478923720998,22.259525950500965,4.1190693120270945,1.4543936661196895,None
arghakhanchi,2034,1621.1425647487451,22.41795713435806,27.866625882606453,59.538088776583706,2.5836632521768563,4.099303506911678,1621.1424067118471,22.303654807524,4.1162658802817855,1.4543936661196895,None
arghakhanchi,2035,1621.2365692577634,22.410304170274888,27.828727337576606,59.34540777878345,2.743168619275413,4.09109912814717,1621.1425647487451,22.41795713435806,4.099303506911678,1.4543936661196895,None
arghakhanchi,2036,1621.1805239852172,22.249347654455356,27.855278656978676,59.30953879173841,2.7504282464450287,4.172268711773985,1621.2365692577634,22.410304170274888,4.09109912814717,1.4377119651014463,None
arghakhanchi,2037,1621.0832819022246,22.33153986659701,27.98941351453591,59.58713759276508,2.794833425487444,4.182978317174869,1621.1805239852172,22.249347654455356,4.172268711773985,1.4543936661196895,None
arghakhanchi,2038,1620.952799806276,22.24833773814346,28.008780805918978,59.70466915510464,2.736703440030449,4.202897664534069,1621.0832819022246,22.33153986659701,4.182978317174869,1.4377119651014463,None
