DISTRICT,YEAR,avg_temp,avg_max_temp,temp_range_stddev,avg_humidity,avg_wind,annual_precip,precip_zscore,avg_temp_lag1,annual_precip_lag1,heatwave_days_lag1,prediction
arghakhanchi,2020,22.39975652651421,27.78442860015431,3.5700554125066875,59.75360807350325,2.506203183166399,1621.1330600386007,1.3228854413994138,22.466944786357868,1621.012986846002,62.89072314512346,50.761748455683225
arghakhanchi,2021,22.30408384381772,28.013178062967373,3.5208346788160587,59.85520078282815,2.4481893741660103,1621.1495269002435,1.1322491216419999,22.49984728493476,1621.106726041947,21.059354433539283,42.284400278974324
arghakhanchi,2022,22.17518488908767,27.857852266675366,3.4436663420004994,59.682502743703665,2.375891796930171,1621.3064788185786,1.2457786855718624,22.288136108293767,1621.3275795371349,21.2251585179114,37.58012890778557
arghakhanchi,2023,22.034373322019515,27.785540485822064,3.5605352847297835,59.75963889844175,2.4714911787315335,1621.3758261730236,1.3816469155778388,22.22301241867911,1621.3341474321892,21.271677502587,44.18075677130233
arghakhanchi,2024,22.073048198674513,27.78689675082689,3.513384132605247,59.725810863044394,2.225971789112723,1621.3159546788002,1.4750222682537633,22.000294854011244,1621.2856862262074,21.09650533000099,35.873809022027146
arghakhanchi,2025,22.017430220902167,27.681323716559692,3.53306476292278,59.755868287247786,2.053308532541984,1621.3631177799614,1.4870651576511993,22.235712372993433,1621.3428771595393,21.2046522021756,35.4229945763143
arghakhanchi,2026,21.885697856401524,27.7942670809996,3.4698996591596023,59.83414187544674,1.993782655364362,1621.2737085549772,1.4347323463444315,22.183494798411342,1621.4338640426113,21.325556869453607,35.4229945763143
arghakhanchi,2027,21.83331679236752,27.914408116851057,3.524708618637862,59.74246263182609,1.9443385486485878,1621.301481809806,1.3893644110157914,21.922388759751726,1621.3033013944155,21.220871817899713,35.62595213016269
arghakhanchi,2028,21.834969195118283,27.75253930566239,3.6872897697232947,59.77064046140305,1.9663722958107217,1621.2155859374818,1.1646770032870246,21.822760247069535,1621.2812413091467,21.153410814716622,38.5607895954157
arghakhanchi,2029,21.818889120068558,27.738732337586132,3.785353004825652,59.95523106586772,1.9634585039353385,1621.298429614023,1.1323543761223283,21.675477852734495,1621.2640794612353,21.195875155704844,38.5607895954157
arghakhanchi,2030,21.931710010791157,27.79100075815144,3.7430644641101307,59.97978679958349,1.8462454729143456,1621.3732072878618,1.1514073683449895,21.71968709103154,1621.283828803296,21.36234428778439,38.5607895954157
arghakhanchi,2031,21.900466462697597,27.84346537738931,3.788323675740913,59.829192335562794,1.6887429423758,1621.2436638421705,1.2260958936838524,22.068435214685294,1621.3225711518685,21.143523509330006,38.5607895954157
arghakhanchi,2032,21.940187135998794,27.801791056309387,3.9439831063310664,59.79292735962077,1.670507807583113,1621.1710407634525,1.2102864734581371,22.075433462661163,1621.3245746840594,21.26467163825046,38.5607895954157
arghakhanchi,2033,21.939762081206418,27.55874568987408,3.9323485278537116,59.60216882793739,1.4788569245728211,1621.335683309731,1.2489767687706712,21.948031931813777,1621.0333974657801,21.213225943410404,37.31565598620839
arghakhanchi,2034,21.874217953058924,27.54339086437468,3.9343946114635675,59.55076201550211,1.604990335358376,1621.2814394532468,1.2595136012847692,21.89958643779457,1621.2842132429134,21.217514035001646,36.989005034986114
arghakhanchi,2035,21.978528158341675,27.606312179561996,4.073030640638503,59.63755755474576,1.3815856010918006,1621.3372281904515,1.1360564619724687,21.784570224554027,1621.2576670451435,21.116333598872213,38.065125837808594
arghakhanchi,2036,21.971592020171826,27.487214492107185,4.013409615372736,59.800160272738296,1.4136310923230144,1621.454204614941,1.0219871857664362,21.903783495963864,1621.246786285954,21.136611870012224,34.78564425735046
