DISTRICT,YEAR,annual_precip,avg_temp,avg_max_temp,avg_humidity,avg_wind,temp_range_stddev,annual_precip_lag1,avg_temp_lag1,temp_range_stddev_lag1,prediction
arghakhanchi,2020,1621.1558799794807,22.483140417599063,27.68642154236361,59.619136231223955,2.511194412506592,3.652847712550924,1620.8815228968513,22.38163833405771,3.6381255614699675,1.3869610681003184
arghakhanchi,2021,1621.2097962665136,22.509780727112755,27.53980110716589,59.58179130733408,2.5214804635599615,3.6248365953369546,1621.11008461501,22.526815891604915,3.6380307178893334,1.4451921338761837
arghakhanchi,2022,1621.271899204851,22.32201768455572,27.741140031718484,59.48064732598238,2.5982230766610748,3.717608436739028,1621.2588413498179,22.419034633525303,3.6250955748047997,1.4273173504498353
arghakhanchi,2023,1621.3247299296477,22.34612486216715,27.8110116073397,59.333876132035215,2.5525822276291024,3.618201153359339,1621.4083991660978,22.492023231418017,3.8361780728817054,1.4140373837701725
arghakhanchi,2024,1621.3272242315404,22.389268648696287,27.743098284067724,59.23342150334959,2.4637162815229585,3.7104155954232003,1621.3792731355759,22.20780518263671,3.6210686915091364,1.4273173504498353
arghakhanchi,2025,1621.2281846697408,22.560733635706207,27.89533169082667,59.080859494115984,2.5358009768766183,3.611914067738451,1621.230605553789,22.541553742881785,3.92733780012471,1.4786979835628529
arghakhanchi,2026,1621.2738097314743,22.74965775774452,27.85441411991506,59.100129353317335,2.4026900317266717,3.5807585412019693,1621.1105625932164,22.522325351206376,3.630032593961443,1.4972845553700225
arghakhanchi,2027,1621.1806925386763,22.93090529115069,27.871934935918176,59.12427293368345,2.5307172963182114,3.6350222045172336,1621.204634028516,22.80113673622473,3.7338966736465533,1.5433686772126638
arghakhanchi,2028,1620.9814696687777,23.017326321113433,27.957510327570507,59.26471290861079,2.438122870435119,3.5762869915578723,1621.0268591147671,22.78292115310271,3.667742828457586,1.547819874010828
arghakhanchi,2029,1620.9690933040317,23.018377343820006,27.877846689507795,59.20144816365165,2.394835503884196,3.571397339151486,1621.0178852850831,22.921163309541416,3.5634796264245456,1.6399502962973886
